1       24,56,56,56,56,48,31,64,39,32,32,27,28,64,11,0,0,0,32,64,9,0,0,0,32,64,58,56,42,8,25,63,52,33,59,53,0,4,2,0,29,56,0,0,0,0,18,56,26,40,0,0,22,56,35,64,15,2,46,56,5,54,64,62,64,35,0,2,23,31,16,0
2       0,16,36,35,14,0,19,64,44,42,62,17,46,47,0,0,38,48,55,33,0,0,32,56,56,35,0,0,36,56,56,32,0,0,40,54,56,32,0,0,40,51,59,32,0,0,40,50,64,32,0,0,46,48,50,46,1,4,58,42,15,61,54,58,61,13,0,9,28,27,9,0
3       30,13,30,30,6,0,17,63,50,52,59,10,50,46,0,0,47,39,54,32,0,0,40,48,60,32,0,0,40,48,60,32,0,0,44,48,64,32,0,0,46,48,64,24,0,0,48,41,64,24,0,0,48,40,56,37,0,5,60,38,24,64,50,57,60,8,0,18,32,30,8,0
4       0,9,41,48,28,1,6,58,56,42,62,39,29,60,3,0,24,56,32,56,0,0,16,56,32,62,0,0,16,56,32,64,0,0,16,56,32,57,0,2,14,56,32,56,0,0,13,56,30,58,4,5,10,56,16,63,34,21,47,56,0,25,59,64,61,56,0,1,8,5,30,27
5       0,11,36,40,19,0,10,61,54,51,64,23,38,51,1,0,40,54,44,40,0,0,32,56,48,40,0,0,29,56,44,40,0,0,24,56,47,40,0,0,24,56,48,40,0,0,27,56,40,42,0,0,25,56,31,61,19,14,52,49,18,47,64,64,57,10,16,19,13,15,5,2
6       54,64,64,64,59,18,48,56,34,32,32,11,48,40,0,0,0,0,48,40,5,4,0,0,48,61,63,61,31,0,38,60,30,38,64,18,0,3,0,0,51,36,0,2,0,0,40,40,57,35,1,0,46,34,51,60,23,30,62,22,12,57,64,64,40,0,0,2,14,9,0,0
7       0,0,0,21,38,2,0,0,14,62,43,1,0,2,55,54,3,0,0,27,64,14,0,0,0,53,44,0,0,0,12,64,59,61,35,2,27,64,53,41,62,42,37,60,3,0,30,56,40,49,0,0,17,56,33,61,6,5,50,56,30,61,64,64,64,36,27,17,32,32,24,5
8       60,17,14,42,26,52,64,64,52,3,15,53,64,62,11,8,60,56,64,38,0,48,64,56,62,4,18,64,64,56,47,0,6,11,32,55,17,0,11,20,0,17,7,3,61,64,21,0,0,16,64,64,29,0,17,5,55,62,17,0,53,4,1,4,0,22,31,23,0,0,7,27
9       63,64,62,14,7,49,64,64,27,0,33,56,64,47,0,23,61,56,64,12,4,60,64,56,51,0,24,56,64,56,34,0,0,0,14,51,9,0,29,31,1,9,0,16,64,64,22,0,8,20,64,64,26,0,23,1,39,44,6,0,56,9,0,0,4,35,31,29,0,4,25,27
10       63,64,64,58,46,55,64,64,59,10,0,44,64,63,17,0,36,56,64,37,0,23,64,56,60,7,4,59,64,56,43,0,11,32,47,56,23,0,0,0,0,21,9,0,44,59,13,0,0,7,64,64,36,0,14,3,59,64,30,0,48,0,10,21,1,0,31,12,0,0,0,9
11       63,39,4,2,29,54,44,0,25,28,1,22,21,18,64,64,29,0,16,24,64,64,40,0,16,24,64,64,40,0,20,24,64,64,40,0,24,24,64,64,40,0,19,24,64,64,40,0,17,20,64,64,40,0,26,10,63,64,33,0,52,1,14,22,1,16,31,15,0,0,2,26
12       19,40,40,58,21,0,35,61,43,43,61,35,40,46,0,0,27,56,40,40,0,0,20,56,40,40,0,0,16,56,40,40,0,0,17,56,40,40,0,0,22,56,40,40,0,0,20,56,40,40,0,0,18,56,40,40,0,0,29,55,45,59,48,50,64,31,23,32,32,32,21,0
13       0,11,35,38,15,0,5,62,56,52,63,17,27,57,3,0,45,45,32,48,0,0,33,48,23,60,7,3,53,37,1,57,62,61,62,7,22,63,26,22,58,28,39,43,0,0,31,49,40,34,0,0,25,54,34,50,1,1,44,41,8,58,54,53,63,15,0,8,30,31,11,0
14       0,15,38,38,16,0,18,64,57,55,64,23,45,53,3,0,46,51,51,40,0,0,32,56,51,40,0,0,32,56,56,40,0,0,32,56,56,34,0,0,32,56,56,32,0,0,32,56,56,32,0,0,33,56,48,49,1,6,55,47,17,63,59,61,63,16,0,12,32,32,11,0
15       0,15,38,32,6,0,14,63,58,60,58,5,43,45,0,3,58,29,48,32,0,0,48,34,42,48,1,13,59,25,7,62,60,63,50,1,37,58,28,35,63,16,60,26,0,0,52,38,64,17,0,0,41,40,56,33,0,6,57,30,29,64,50,57,58,5,0,21,32,31,7,0
16       44,32,32,33,52,55,24,8,24,17,2,40,24,32,64,64,27,4,24,32,64,64,45,0,24,31,64,63,21,10,24,2,16,5,0,42,24,18,48,45,15,12,25,26,64,64,47,0,32,24,64,64,48,0,32,24,64,64,46,0,29,14,40,39,10,15,10,0,0,0,2,25
17       63,52,27,26,48,55,53,3,14,16,0,37,30,13,63,64,17,10,24,20,64,64,24,6,38,6,58,63,12,23,63,7,3,5,2,51,48,1,36,41,5,28,28,21,64,64,33,2,24,27,64,64,40,0,29,15,64,64,28,4,53,3,19,27,1,33,31,19,0,0,8,27
18       41,24,15,24,49,55,24,13,32,26,2,41,24,32,64,64,34,7,24,32,64,64,46,0,24,31,64,61,19,12,24,2,8,2,0,44,24,21,48,47,18,14,24,32,64,64,47,0,24,32,64,64,48,0,36,32,64,64,44,0,26,13,38,31,6,22,10,0,0,0,2,26
19       63,35,12,13,38,55,34,0,10,10,0,25,4,13,60,62,14,0,36,38,64,64,20,0,64,64,64,50,0,10,64,64,64,13,1,43,64,64,35,0,34,56,60,57,2,12,63,56,64,17,1,49,64,56,38,0,25,64,64,56,2,0,17,17,16,13,0,0,0,0,0,0
20       63,48,19,18,43,55,52,1,23,26,2,42,31,17,64,64,23,17,27,21,64,64,30,4,40,6,57,61,11,25,63,8,2,3,2,53,41,2,41,44,5,28,23,22,64,64,33,2,16,30,64,64,39,0,26,17,64,64,23,6,51,1,17,19,0,36,31,16,0,0,11,27
21       0,16,47,56,34,3,12,63,63,58,64,43,40,64,12,2,35,56,22,40,0,0,29,56,0,0,0,3,58,55,6,8,26,37,64,27,0,0,15,63,48,0,0,2,52,61,8,0,0,36,64,26,0,0,20,64,46,5,0,0,52,64,58,63,58,49,27,32,32,32,32,27
22       17,32,32,37,30,4,40,59,46,48,63,26,40,40,0,0,31,54,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,42,37,0,0,38,53,47,62,56,59,63,20,15,24,32,30,12,0
23       21,46,46,50,58,24,32,59,40,40,59,44,39,48,0,0,20,56,35,48,0,0,16,56,40,48,0,0,16,56,40,48,0,0,16,56,40,48,0,0,16,56,40,48,0,0,16,56,40,48,0,0,16,56,40,46,0,0,23,56,40,63,52,50,63,34,19,32,32,32,19,0
24       0,0,0,27,21,0,0,0,28,64,52,0,0,15,63,49,3,0,0,52,58,5,0,0,12,64,54,47,23,0,30,64,63,60,64,37,42,62,11,1,45,56,48,56,0,0,24,56,48,52,0,0,24,56,40,61,7,2,38,56,12,61,61,60,64,40,0,13,32,32,27,1
25       0,0,10,39,3,0,0,9,58,64,23,0,0,51,63,21,0,0,22,64,34,0,0,0,45,64,58,49,16,0,60,64,52,58,63,17,64,42,0,3,57,45,64,32,0,0,48,48,64,34,0,0,49,48,56,58,24,34,63,35,15,60,64,64,50,4,0,3,16,14,0,0
26       0,0,0,19,3,0,0,0,39,64,36,0,0,28,64,44,4,0,6,61,51,2,0,0,30,64,48,32,12,0,48,64,64,64,63,19,57,55,6,8,56,52,64,40,0,0,40,56,64,40,0,0,38,56,53,57,6,6,53,52,19,63,64,64,61,18,0,12,32,30,9,0
27       27,32,32,34,32,13,64,64,64,64,64,23,64,37,0,0,0,0,64,31,0,0,0,0,64,63,64,55,35,1,61,61,34,47,64,26,3,8,0,1,58,45,0,0,0,0,55,48,42,20,0,0,52,46,60,58,10,23,64,33,21,63,64,64,51,4,0,8,24,19,1,0
28       41,48,48,39,10,0,56,42,24,39,61,11,51,24,0,0,39,40,48,24,0,0,34,47,48,35,14,20,59,27,48,64,64,64,64,9,47,33,0,2,42,43,40,32,0,0,24,56,40,36,0,0,18,56,40,41,0,0,33,49,40,64,57,57,60,14,9,16,16,16,3,0
29       0,0,3,41,15,0,0,3,49,63,23,0,0,40,63,21,0,0,12,64,35,0,0,0,39,64,53,48,27,0,54,64,48,51,64,29,64,42,0,1,54,51,64,32,0,0,48,56,64,33,0,0,48,56,55,58,19,17,62,42,15,61,64,64,57,9,0,6,22,21,3,0
30       0,0,10,42,6,0,0,10,60,61,14,0,1,52,61,12,0,0,24,64,24,0,0,0,49,64,64,56,24,0,63,64,46,55,64,18,64,36,0,4,61,42,64,24,0,0,56,44,64,25,0,0,58,40,62,54,19,31,64,28,21,62,64,64,52,2,0,8,23,18,1,0
31       29,40,40,40,22,0,48,53,40,42,63,25,48,32,0,0,35,47,48,32,0,0,32,48,48,32,0,0,32,48,48,32,0,0,32,50,48,32,0,0,32,56,48,32,0,0,31,56,48,32,0,0,26,56,48,32,0,0,33,48,48,53,40,43,63,27,23,32,32,32,24,0
32       0,0,15,53,12,0,0,12,61,43,3,0,1,54,49,1,3,0,22,63,9,0,1,0,46,64,63,57,22,0,61,58,28,41,63,13,64,25,0,0,53,36,64,16,0,26,48,40,64,16,0,45,49,38,58,45,14,44,62,24,23,63,64,64,48,1,11,10,23,18,0,2
33       29,39,27,3,8,6,48,53,40,39,60,22,48,32,0,0,36,50,48,32,0,0,32,48,48,32,0,0,32,48,50,32,0,0,32,56,56,32,0,0,32,56,56,32,0,0,32,50,56,32,0,0,32,52,56,32,0,0,40,46,56,57,46,49,64,21,27,32,32,32,18,0
34       20,62,64,64,62,55,24,64,33,32,32,27,24,64,0,0,0,0,24,64,0,0,0,0,24,64,52,63,41,1,21,64,53,46,64,33,0,9,2,0,41,55,0,0,0,0,26,56,26,36,0,0,28,56,32,61,8,1,50,54,9,61,63,55,64,29,0,12,32,32,23,0
35       0,0,3,47,35,0,0,1,49,63,26,0,0,28,64,25,0,0,2,58,49,6,0,0,20,64,64,64,50,6,36,64,54,45,63,42,43,57,3,0,32,56,48,48,0,0,24,56,43,48,0,0,20,56,37,62,21,0,40,55,8,58,64,64,64,29,0,8,31,32,18,0
36       39,56,56,56,56,37,48,57,32,32,32,23,48,48,0,0,0,0,48,49,0,0,0,0,48,64,64,56,28,0,38,62,37,46,64,14,0,3,0,1,59,35,2,0,0,0,48,40,63,23,0,0,52,37,53,55,22,35,64,22,15,61,64,64,47,1,0,6,23,17,0,0
37       48,63,64,56,56,27,59,49,32,32,32,15,61,32,0,0,0,0,64,36,26,14,0,0,64,64,64,64,46,1,46,53,18,27,64,25,0,0,0,0,52,38,0,0,0,0,49,39,46,15,0,0,53,32,60,46,13,26,63,24,21,63,64,64,43,1,0,7,22,14,0,0
38       34,40,40,30,4,0,56,45,33,50,54,4,56,16,0,1,52,27,56,16,0,0,42,32,56,20,1,19,62,16,56,64,64,64,54,0,56,23,8,13,56,23,56,16,0,0,38,36,56,16,0,0,36,40,56,16,0,0,45,34,56,57,48,56,58,8,18,24,24,22,4,0
39       0,37,56,42,7,0,40,63,42,51,58,4,63,28,0,1,57,27,64,16,0,0,48,37,64,16,0,0,56,40,64,16,0,0,56,40,64,16,0,12,64,40,64,16,0,7,54,37,64,16,0,0,48,32,60,40,0,7,60,26,26,63,64,64,51,3,0,12,30,23,2,0
40       34,43,48,45,20,0,52,52,33,41,63,24,48,30,0,0,36,47,51,32,0,0,32,48,51,32,0,0,32,48,48,32,0,0,32,48,48,32,0,0,32,51,48,32,0,0,32,48,48,32,0,0,32,48,48,32,0,1,43,46,48,61,64,64,61,14,15,24,24,23,6,0
