1       47,6,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,9,12,36,36,36,37,37,37,37,38,38,38,38,37,37,38,38,38,38,9,5,3,2,2,2,3,3,3,3,4,4,4,5,6,6,7,8,9,10,11,12,14,16,18,23,47,1,0,0,0,0,0,0,0,0,0,1,28,29,30,30,30,30,30,30,30,29,29,29,29,30,30,30,30,30,30,30,29,15,11,9,7,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,6,8,10,11,16,92,92,69,68,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,92,92,20,16,13,12,10,9,8,7,6,5,4,4,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,4,5,5,7,8,9,11
2       47,47,47,20,15,12,11,10,8,7,6,6,5,5,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,4,5,6,7,8,9,10,11,13,15,20,47,47,47,20,14,12,11,9,8,7,6,5,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,5,6,7,8,9,10,12,14,20,61,25,18,16,14,12,10,9,8,8,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,6,7,7,8,9,10,11,12,14,16,18,22,20,17,13,11,10,9,8,7,6,5,4,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,5,6,7,8,9,11,14,16,34
3       1,0,0,1,18,16,13,11,9,8,7,6,6,5,4,3,3,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,4,5,6,7,8,9,10,13,14,37,37,38,39,17,15,13,11,10,9,7,6,6,5,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5,6,7,8,8,9,10,12,15,17,1,0,0,0,0,0,0,0,0,0,8,7,7,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,8,9,10,10,11,13,14,16,19,22,92,17,15,12,10,8,7,6,5,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,5,7,8,9,11,12,14,35,92
4       47,47,21,18,16,14,13,12,11,10,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,7,8,2,9,10,11,12,14,15,17,20,24,17,15,17,47,47,15,12,11,10,7,6,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,92,79,79,19,16,14,12,11,10,9,8,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,5,6,6,6,7,8,9,10,11,13,14,92,92,12,12,22,17,15,14,13,11,10,9,8,8,7,1,1,0,1,1,4,4,4,4,3,3,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5       47,47,47,19,17,14,12,11,10,9,8,7,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,4,4,8,9,11,5,5,1,0,1,6,7,47,47,47,15,13,11,9,8,7,6,5,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,6,7,8,9,11,7,5,31,31,88,87,28,18,16,14,13,11,10,9,8,7,6,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,7,8,9,10,11,13,14,16,18,3,2,2,3,3,2,1,0,0,0,1,2,2,1,0,0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,2,2,2,2,10,11,12,14,17
6       1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,9,10,33,33,34,34,34,34,35,35,35,35,35,35,35,35,8,6,1,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,5,6,8,9,10,12,14,18,47,47,12,6,5,4,4,4,4,4,4,4,4,5,29,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,19,18,15,14,11,10,9,8,7,7,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,6,7,7,8,9,10,11,13,15,17,20,47,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,47,52,92,92,19,16,14,12,11,9,8,8,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,6,7,8,9,10,12,13,15,18,26,92,92
7       47,47,31,30,29,28,27,26,25,25,24,23,22,21,20,20,19,19,18,17,16,16,15,15,14,13,13,13,13,12,12,11,11,10,10,10,9,9,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,1,6,1,0,0,0,0,1,1,1,0,0,1,47,47,12,10,9,7,6,6,6,7,8,9,10,11,12,13,13,14,15,16,16,17,18,18,19,20,20,21,22,22,23,23,24,24,25,25,26,26,27,27,18,15,13,11,9,8,7,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,5,7,1,0,1,82,79,84,59,53,48,44,40,38,36,33,31,29,25,24,22,20,19,18,16,14,13,12,11,10,8,7,6,5,4,3,2,2,2,2,3,3,4,5,5,6,47,48,49,51,52,54,1,0,0,0,0,0,1,2,6,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,5,7,1,0,1
8       1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,18,0,0,1,1,1,15,15,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,15,14,13,12,12,12,12,12,12,11,11,11,11,11,12,12,12,11,11,11,12,13,15,16,16,19,42,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,3,5,5,6,7,7,7,7,7,7,7,7,7,6,5,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,14,14,13,12,12,12,11,11,11,11,11,12,12,12,14,15,15,16,17,48,0,0,0,0,0,0,0,0,0,1
9       1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,18,17,16,16,15,14,14,14,13,13,13,13,13,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18,16,15,14,13,13,12,12,12,12,12,12,11,11,12,12,12,12,12,12,12,13,14,15,16,18,43,42,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,18,17,16,15,13,12,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,16,15,15,14,14,14,14,14,14,14,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10       1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,16,16,16,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,45,45,18,16,16,14,13,12,12,11,11,11,10,10,10,10,11,11,12,11,10,10,11,11,12,13,14,16,17,41,41,40,39,39,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,64,66,67,17,15,14,12,11,10,10,10,9,9,9,9,9,9,9,10,11,11,12,13,14,16,45,45,44,43,43,42,41,1,0,1
